_id,MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,PROGRAMME,REPORT SUMMARY,Action Formal Stakeholder,Formal Stakeholder,Action Category,Report Category,Action Labels,Report Labels,Insert Datetime
684997d89b5e602eb0072fc1,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 1,"Teagasc Sustainability Reporting  should broaden to incorporate issues  such as: generational renewal and  collaborative farming models; gender  balance; diversity and Inclusion;  education and training; and health and  safety (including incidence of farm  accidents, stress and rates of isolation).",Teagasc Sustainability Reporting,"The Department of Agriculture, Food and the Marine is actively involved in funding and enhancing the capacity of the Teagasc National Farm Survey for sustainability metrics development.",Teagasc The Agriculture And Food Development Authority,"Department Of Agriculture, Food And The Marine",Semi-State Agency,"Department Of Agriculture, Food And The Marine",Semi-state agency 012,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fc2,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,"The Department of Agriculture, Food and the Marine is actively involved in implementing climate-related agricultural initiatives and research funding.",Farmers,"Department Of Agriculture, Food And The Marine",Producers,"Department Of Agriculture, Food And The Marine",Producers 008,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fc3,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,"The Department of Agriculture, Food and the Marine is actively involved in implementing climate-related agricultural initiatives and research funding.",Farmers,"Department Of Agriculture, Food And The Marine",Producers,"Department Of Agriculture, Food And The Marine",Producers 008,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fc4,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,"The Department of Agriculture, Food and the Marine is actively involved in implementing climate-related agricultural initiatives and research funding.",Farmers,"Department Of Agriculture, Food And The Marine",Producers,"Department Of Agriculture, Food And The Marine",Producers 008,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fc5,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,"The Department of Agriculture, Food and the Marine is actively involved in implementing and funding climate-related agriculture and food systems research initiatives.",Fishers,"Department Of Agriculture, Food And The Marine",Producers,"Department Of Agriculture, Food And The Marine",Producers 010,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fc6,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,"The Department of Agriculture, Food and the Marine is actively involved in implementing and funding climate-related agriculture and food systems research initiatives.",Fishers,"Department Of Agriculture, Food And The Marine",Producers,"Department Of Agriculture, Food And The Marine",Producers 010,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fc7,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,"The Department of Agriculture, Food and the Marine is actively involved in implementing and funding climate-related agriculture and food systems research initiatives.",Fishers,"Department Of Agriculture, Food And The Marine",Producers,"Department Of Agriculture, Food And The Marine",Producers 010,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fc8,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,"The Department of Agriculture, Food and the Marine is actively involved in implementing and funding climate-related agricultural research and initiatives.",Forest Owners,"Department Of Agriculture, Food And The Marine",Inputs,"Department Of Agriculture, Food And The Marine",Inputs 014,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fc9,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,"The Department of Agriculture, Food and the Marine is actively involved in implementing and funding climate-related agricultural research and initiatives.",Forest Owners,"Department Of Agriculture, Food And The Marine",Inputs,"Department Of Agriculture, Food And The Marine",Inputs 014,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fca,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,"The Department of Agriculture, Food and the Marine is actively involved in implementing and funding climate-related agricultural research and initiatives.",Forest Owners,"Department Of Agriculture, Food And The Marine",Inputs,"Department Of Agriculture, Food And The Marine",Inputs 014,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fcb,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,"The Department of Agriculture, Food and the Marine is actively involved in implementing and funding climate-related agricultural research and initiatives.",Forest Owners,"Department Of Agriculture, Food And The Marine",Inputs,"Department Of Agriculture, Food And The Marine",Inputs 014,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fcc,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,"The Department of Agriculture, Food and the Marine is actively involved in implementing and funding climate-related agricultural research and initiatives.",Forest Owners,"Department Of Agriculture, Food And The Marine",Inputs,"Department Of Agriculture, Food And The Marine",Inputs 014,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fcd,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,"The Department of Agriculture, Food and the Marine is actively involved in implementing and funding climate-related agricultural research and initiatives.",Forest Owners,"Department Of Agriculture, Food And The Marine",Inputs,"Department Of Agriculture, Food And The Marine",Inputs 014,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fce,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,"The Department of Agriculture, Food and the Marine is actively involved in implementing climate-related agriculture initiatives and funding research projects.",Agri-Food Businesses,"Department Of Agriculture, Food And The Marine",Inputs,"Department Of Agriculture, Food And The Marine",Processors 002,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fcf,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,"The Department of Agriculture, Food and the Marine is actively involved in implementing climate-related agriculture initiatives and funding research projects.",Agri-Food Businesses,"Department Of Agriculture, Food And The Marine",Inputs,"Department Of Agriculture, Food And The Marine",Processors 002,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fd0,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,"The Department of Agriculture, Food and the Marine is actively involved in implementing climate-related agriculture initiatives and funding research projects.",Agri-Food Businesses,"Department Of Agriculture, Food And The Marine",Inputs,"Department Of Agriculture, Food And The Marine",Processors 002,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fd1,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,"The Department of Agriculture, Food and the Marine is actively involved in implementing climate-related agricultural initiatives and research funding.",European Union,"Department Of Agriculture, Food And The Marine",Processors,"Department Of Agriculture, Food And The Marine",International organisation 008,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fd2,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,"The Department of Agriculture, Food and the Marine is actively involved in implementing climate-related agricultural initiatives and research funding.",European Union,"Department Of Agriculture, Food And The Marine",Processors,"Department Of Agriculture, Food And The Marine",International organisation 008,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fd3,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,"The Department of Agriculture, Food and the Marine is actively involved in implementing climate-related agricultural initiatives and research funding.",European Union,"Department Of Agriculture, Food And The Marine",Processors,"Department Of Agriculture, Food And The Marine",International organisation 008,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fd4,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Ireland’s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 1,"Promoting food and nutrition security, and SFSs, will be a central part of delivering on Ireland’s ambition of the achieving the UN aid target of 0.7% of GNI by 2030,",Agricultural Innovation Mission for Climate (AIM4C) Summit,Implements the programme through increased investment in climate-related agriculture and food systems research.,National Treatment Purchase Fund,"Department Of Agriculture, Food And The Marine",International Organisation,"Department Of Agriculture, Food And The Marine",State Agencies and Local Authorities 009,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fd5,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Ireland’s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 1,"Promoting food and nutrition security, and SFSs, will be a central part of delivering on Ireland’s ambition of the achieving the UN aid target of 0.7% of GNI by 2030,",National ‘Agriculture and Climate Change: Science in Action’ Conference,Implements the programme through increased investment in climate-related agriculture and food systems research.,National Treatment Purchase Fund,"Department Of Agriculture, Food And The Marine",International Organisation,"Department Of Agriculture, Food And The Marine",State Agencies and Local Authorities 009,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fd6,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Ireland’s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 1,"Promoting food and nutrition security, and SFSs, will be a central part of delivering on Ireland’s ambition of the achieving the UN aid target of 0.7% of GNI by 2030,",Agricultural Innovation Mission for Climate (AIM4C) Summit,Implements the programme through increased investment in climate-related agriculture and food systems research.,Private Sector,"Department Of Agriculture, Food And The Marine",International Organisation,"Department Of Agriculture, Food And The Marine",No Map 017,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fd7,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Ireland’s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 1,"Promoting food and nutrition security, and SFSs, will be a central part of delivering on Ireland’s ambition of the achieving the UN aid target of 0.7% of GNI by 2030,",National ‘Agriculture and Climate Change: Science in Action’ Conference,Implements the programme through increased investment in climate-related agriculture and food systems research.,Private Sector,"Department Of Agriculture, Food And The Marine",State Agencies And Local Authorities,"Department Of Agriculture, Food And The Marine",No Map 017,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fd8,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Ireland’s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 1,"Promoting food and nutrition security, and SFSs, will be a central part of delivering on Ireland’s ambition of the achieving the UN aid target of 0.7% of GNI by 2030,",Agricultural Innovation Mission for Climate (AIM4C) Summit,Implements the programme through increased investment in climate-related agriculture and food systems research.,Civil Society,"Department Of Agriculture, Food And The Marine",State Agencies And Local Authorities,"Department Of Agriculture, Food And The Marine",Civil Society 003,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fd9,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Ireland’s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 1,"Promoting food and nutrition security, and SFSs, will be a central part of delivering on Ireland’s ambition of the achieving the UN aid target of 0.7% of GNI by 2030,",National ‘Agriculture and Climate Change: Science in Action’ Conference,Implements the programme through increased investment in climate-related agriculture and food systems research.,Universities,"Department Of Agriculture, Food And The Marine",Civil Society,"Department Of Agriculture, Food And The Marine",Research and Regulatory 099,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fda,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 1,Develop a new Forestry Strategy for  Ireland (in line with the recommendation  of the Mackinnon report).,Ireland’s Forestry Programme (2023 – 2027),Farmers are actively involved in the programme as beneficiaries receiving increased annual premium payments to incentivize afforestation.,Social Economic Environmental Forestry Association,Farmers,Civil Society,Producers,Trade Association 024,Producers 008,2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fdb,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 1,Develop a new Forestry Strategy for  Ireland (in line with the recommendation  of the Mackinnon report).,Ireland’s Forestry Programme (2023 – 2027),Landowners are actively involved in the programme by receiving incentives for afforestation and premium payments to support diverse planting options.,Rural Communities,Landowners,Civil Society,Inputs,Civil Society 013,Inputs 018,2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fdc,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 1,Develop a new Forestry Strategy for  Ireland (in line with the recommendation  of the Mackinnon report).,Ireland’s Forestry Programme (2023 – 2027),Landowners are actively involved in the programme by receiving incentives for afforestation and premium payments to support diverse planting options.,Biorbic Sfi Bioeconomy Research Centre,Landowners,Research And Regulatory,Inputs,Research and Regulatory 018,Inputs 018,2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fdd,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 1,Develop a new Forestry Strategy for  Ireland (in line with the recommendation  of the Mackinnon report).,Ireland’s Forestry Programme (2023 – 2027),Public bodies may support the national effort by planting trees on suitable publicly owned bare land.,Forest Industries Ireland,Public Bodies,Semi-State Agency,State Agencies And Local Authorities,Semi-State Agency 006,State Agencies and Local Authorities 012,2025-06-11T15:51:04.974Z
684997d89b5e602eb0072fde,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 1,Develop a new Forestry Strategy for  Ireland (in line with the recommendation  of the Mackinnon report).,Ireland’s Forestry Programme (2023 – 2027),Public bodies may support the national effort by planting trees on suitable publicly owned bare land.,Rural Communities,Public Bodies,Civil Society,State Agencies And Local Authorities,Civil Society 013,State Agencies and Local Authorities 012,2025-06-11T15:51:04.974Z
