MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,Formal Stakeholder,Category
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 3,"Update Ag Climatise, as required, to  ensure consistency with new targets  agreed nationally and internationally  for the agri-food sector.",Ag Climatise,"Department of Agriculture, Food and the Marine"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 3,"Update Ag Climatise, as required, to  ensure consistency with new targets  agreed nationally and internationally  for the agri-food sector.","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 3,"Update Ag Climatise, as required, to  ensure consistency with new targets  agreed nationally and internationally  for the agri-food sector.",Teagasc The Agriculture and Food Development Authority,Semi-state agency
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 3,"Update Ag Climatise, as required, to  ensure consistency with new targets  agreed nationally and internationally  for the agri-food sector.",Bord Bia The Irish Food Board,"Branding, Marketing and Distribution"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 4,Roll out ‘Carbon Farming’.,Farmers,Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 4,Roll out ‘Carbon Farming’.,European Union Carbon Farming Initiative,International organisation
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 4,Roll out ‘Carbon Farming’.,European Commission,International organisation
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 4,Roll out ‘Carbon Farming’.,Ordnance Survey Ireland,Semi-State Agency
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 4,Roll out ‘Carbon Farming’.,Environmental Protection Agency,State Agencies 
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 4,Roll out ‘Carbon Farming’.,National Agricultural Soil Carbon Observatory,Research and Regulatory
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 4,Roll out ‘Carbon Farming’.,SignPost Farm Programme,Semi-state agency
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 7,"Scale up renewable energy (RE)  sources, especially anaerobic digestion,  biorefining and biomass supply, and  solar PV; focus on energy efficiency;  and examine potential barriers to the  roll-out of RE at farm level, including  necessary support for microgeneration  and access to the grid.",Ag Climatise,"Department of Agriculture, Food and the Marine"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 7,"Scale up renewable energy (RE)  sources, especially anaerobic digestion,  biorefining and biomass supply, and  solar PV; focus on energy efficiency;  and examine potential barriers to the  roll-out of RE at farm level, including  necessary support for microgeneration  and access to the grid.",Citizens,Civil Society
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 7,"Scale up renewable energy (RE)  sources, especially anaerobic digestion,  biorefining and biomass supply, and  solar PV; focus on energy efficiency;  and examine potential barriers to the  roll-out of RE at farm level, including  necessary support for microgeneration  and access to the grid.",Farmers,Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 7,"Scale up renewable energy (RE)  sources, especially anaerobic digestion,  biorefining and biomass supply, and  solar PV; focus on energy efficiency;  and examine potential barriers to the  roll-out of RE at farm level, including  necessary support for microgeneration  and access to the grid.",Agri-food Businesses,Processors
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 7,"Scale up renewable energy (RE)  sources, especially anaerobic digestion,  biorefining and biomass supply, and  solar PV; focus on energy efficiency;  and examine potential barriers to the  roll-out of RE at farm level, including  necessary support for microgeneration  and access to the grid.",Climate Action Plan 2019,"Department of Environment, Climate and Communications"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 8,The food and beverage industry will  continue to drive down GHG emissions  and develop zero waste approaches.,Bord Bia The Irish Food Board,"Branding, Marketing and Distribution"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 8,The food and beverage industry will  continue to drive down GHG emissions  and develop zero waste approaches.,Bord Iascaigh Mhara,Semi-State Agency
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 8,The food and beverage industry will  continue to drive down GHG emissions  and develop zero waste approaches.,Enterprise Ireland,"Department of Business, Employment and Retail"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 8,The food and beverage industry will  continue to drive down GHG emissions  and develop zero waste approaches.,Environmental Protection Agency,State Agencies 
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 8,The food and beverage industry will  continue to drive down GHG emissions  and develop zero waste approaches.,Sustainable Energy Authority of Ireland,Semi-state agency 
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 8,The food and beverage industry will  continue to drive down GHG emissions  and develop zero waste approaches.,Farmers,Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 8,"Ensure that farms and forests do not  contribute to habitat destruction and  isolation, and also protect features  of cultural heritage and traditional  landscapes.",Environmental Protection Agency,State Agencies 
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 8,"Ensure that farms and forests do not  contribute to habitat destruction and  isolation, and also protect features  of cultural heritage and traditional  landscapes.","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 8,"Ensure that farms and forests do not  contribute to habitat destruction and  isolation, and also protect features  of cultural heritage and traditional  landscapes.","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 8,"Ensure that farms and forests do not  contribute to habitat destruction and  isolation, and also protect features  of cultural heritage and traditional  landscapes.","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 8,"Ensure that farms and forests do not  contribute to habitat destruction and  isolation, and also protect features  of cultural heritage and traditional  landscapes.",Habitats Directive,"Department of Environment, Climate and Communications"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 8,"Ensure that farms and forests do not  contribute to habitat destruction and  isolation, and also protect features  of cultural heritage and traditional  landscapes.",Birds Directive,"Department of Environment, Climate and Communications"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 5,"Launch a National Soil Sampling and  Analysis Programme to develop a  baseline of information in relation  to nutrient cycling and carbon  sequestration functions in soils and  develop a National Soils Strategy that  will assess all appropriate soil health  parameters and will inform future  policies on good soil management  practices, including at a regional level.",Farmers,Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 5,"Launch a National Soil Sampling and  Analysis Programme to develop a  baseline of information in relation  to nutrient cycling and carbon  sequestration functions in soils and  develop a National Soils Strategy that  will assess all appropriate soil health  parameters and will inform future  policies on good soil management  practices, including at a regional level.","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 5,"Launch a National Soil Sampling and  Analysis Programme to develop a  baseline of information in relation  to nutrient cycling and carbon  sequestration functions in soils and  develop a National Soils Strategy that  will assess all appropriate soil health  parameters and will inform future  policies on good soil management  practices, including at a regional level.","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 1,"Develop new bio-based value chains  based on Ireland’s comparative advantage  in the production of grass, legumes and  other perennial species.",Local Community Development Committees,State Agencies and Local Authorities
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 1,"Develop new bio-based value chains  based on Ireland’s comparative advantage  in the production of grass, legumes and  other perennial species.",Farmers,Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 1,"Develop new bio-based value chains  based on Ireland’s comparative advantage  in the production of grass, legumes and  other perennial species.",BiOrbic SFI Bioeconomy Research Centre,Research and Regulatory
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 1,"Develop new bio-based value chains  based on Ireland’s comparative advantage  in the production of grass, legumes and  other perennial species.",Irish Farmers' Association,Trade Association
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 1,"Develop new bio-based value chains  based on Ireland’s comparative advantage  in the production of grass, legumes and  other perennial species.",Forest Industries Ireland,Semi-State Agency
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 1,"Develop new bio-based value chains  based on Ireland’s comparative advantage  in the production of grass, legumes and  other perennial species.",Aquaculture Stewardship Council,NGO
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 2,"Scale up resource-efficient, circular and  low carbon solutions based on principles  of renewable energy, cascading and  circular use of sustainable biological  resources.",Microbiome-Based Solutions,Research and Regulatory
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 2,"Scale up resource-efficient, circular and  low carbon solutions based on principles  of renewable energy, cascading and  circular use of sustainable biological  resources.",Smart Protein-Based Solutions,Research and Regulatory
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 5,"Multiple sources of finance and funding  (including climate finance) will be  required, both from the public and  private sector.",Common Agricultural Policy,European Union (EU)
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 5,"Multiple sources of finance and funding  (including climate finance) will be  required, both from the public and  private sector.",Common Fisheries Policy,European Union (EU)
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 5,"Multiple sources of finance and funding  (including climate finance) will be  required, both from the public and  private sector.",National Treasury Management Agency,Telecommunications and Financial Services
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 5,"Multiple sources of finance and funding  (including climate finance) will be  required, both from the public and  private sector.",Ireland Strategic Investment Fund,Telecommunications and Financial Services
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 5,"Multiple sources of finance and funding  (including climate finance) will be  required, both from the public and  private sector.",Strategic Banking Corporation of Ireland,Telecommunications and Financial Services
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Bord Bia The Irish Food Board,"Branding, Marketing and Distribution"
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",National Parks and Wildlife Service,"Department of Housing, Local Government and Heritage"
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Irish Farmers' Association,Trade Association
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Irish Creamery Milk Suppliers Association,Trade Association
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",National Council of the Irish Cattle and Sheep Farmers’ Association,Trade Association
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Irish Natura and Hill Farmers Association,Trade Association
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Bord Iascaigh Mhara,Semi-State Agency
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Food Safety Authority of Ireland,Research and Regulatory
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Environmental Protection Agency,Research and Regulatory
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Sustainable Energy Authority of Ireland,State Agencies 
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 9,"Build on the experience of the national  dialogues, held in 2021 as part of  Irelands preparations for the UN Food  Systems Summit, by continuing the  culture of dialogue and stakeholder  engagement, which is an important  component of a food systems  approach.",Science Foundation Ireland (SFI),Semi-state agency 
