_id,MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,Formal Stakeholder,Category,Labels,Insert Datetime
6849667a9b5e602eb0072ab5,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 2,Produce detailed plans by Q2 2022 to  manage the sustainable environmental  footprint of the dairy and the beef  sectors.,Farmers,Producers,Producers 008,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ab6,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 3,"Update Ag Climatise, as required, to  ensure consistency with new targets  agreed nationally and internationally  for the agri-food sector.",Ag Climatise,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 002",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ab7,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 3,"Update Ag Climatise, as required, to  ensure consistency with new targets  agreed nationally and internationally  for the agri-food sector.","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 004",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ab8,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 3,"Update Ag Climatise, as required, to  ensure consistency with new targets  agreed nationally and internationally  for the agri-food sector.",Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ab9,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 3,"Update Ag Climatise, as required, to  ensure consistency with new targets  agreed nationally and internationally  for the agri-food sector.",Bord Bia The Irish Food Board,"Branding, Marketing and Distribution","Branding, Marketing and Distribution 001",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072aba,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 4,Roll out ‘Carbon Farming’.,Farmers,Producers,Producers 008,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072abb,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 4,Roll out ‘Carbon Farming’.,European Union Carbon Farming Initiative,International organisation,International organisation 009,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072abc,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 4,Roll out ‘Carbon Farming’.,European Commission,International organisation,International organisation 004,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072abd,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 4,Roll out ‘Carbon Farming’.,Ordnance Survey Ireland,Semi-State Agency,Semi-State Agency 009,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072abe,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 4,Roll out ‘Carbon Farming’.,Environmental Protection Agency,State Agencies ,State Agencies  001,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072abf,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 4,Roll out ‘Carbon Farming’.,National Agricultural Soil Carbon Observatory,Research and Regulatory,Research and Regulatory 058,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ac0,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 4,Roll out ‘Carbon Farming’.,SignPost Farm Programme,Semi-state agency,Semi-state agency 010,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ac1,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 7,"Scale up renewable energy (RE)  sources, especially anaerobic digestion,  biorefining and biomass supply, and  solar PV; focus on energy efficiency;  and examine potential barriers to the  roll-out of RE at farm level, including  necessary support for microgeneration  and access to the grid.",Ag Climatise,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 002",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ac2,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 7,"Scale up renewable energy (RE)  sources, especially anaerobic digestion,  biorefining and biomass supply, and  solar PV; focus on energy efficiency;  and examine potential barriers to the  roll-out of RE at farm level, including  necessary support for microgeneration  and access to the grid.",Citizens,Civil Society,Civil Society 001,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ac3,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 7,"Scale up renewable energy (RE)  sources, especially anaerobic digestion,  biorefining and biomass supply, and  solar PV; focus on energy efficiency;  and examine potential barriers to the  roll-out of RE at farm level, including  necessary support for microgeneration  and access to the grid.",Farmers,Producers,Producers 008,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ac4,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 7,"Scale up renewable energy (RE)  sources, especially anaerobic digestion,  biorefining and biomass supply, and  solar PV; focus on energy efficiency;  and examine potential barriers to the  roll-out of RE at farm level, including  necessary support for microgeneration  and access to the grid.",Agri-food Businesses,Processors,Processors 002,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ac5,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 7,"Scale up renewable energy (RE)  sources, especially anaerobic digestion,  biorefining and biomass supply, and  solar PV; focus on energy efficiency;  and examine potential barriers to the  roll-out of RE at farm level, including  necessary support for microgeneration  and access to the grid.",Climate Action Plan 2019,"Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 002",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ac6,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 8,The food and beverage industry will  continue to drive down GHG emissions  and develop zero waste approaches.,Bord Bia The Irish Food Board,"Branding, Marketing and Distribution","Branding, Marketing and Distribution 001",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ac7,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 8,The food and beverage industry will  continue to drive down GHG emissions  and develop zero waste approaches.,Bord Iascaigh Mhara,Semi-State Agency,Semi-State Agency 002,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ac8,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 8,The food and beverage industry will  continue to drive down GHG emissions  and develop zero waste approaches.,Enterprise Ireland,"Department of Business, Employment and Retail","Department of Business, Employment and Retail 003",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ac9,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 8,The food and beverage industry will  continue to drive down GHG emissions  and develop zero waste approaches.,Environmental Protection Agency,State Agencies ,State Agencies  001,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072aca,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 8,The food and beverage industry will  continue to drive down GHG emissions  and develop zero waste approaches.,Sustainable Energy Authority of Ireland,Semi-state agency ,Semi-state agency  011,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072acb,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 8,The food and beverage industry will  continue to drive down GHG emissions  and develop zero waste approaches.,Farmers,Producers,Producers 008,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072acc,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 8,"Ensure that farms and forests do not  contribute to habitat destruction and  isolation, and also protect features  of cultural heritage and traditional  landscapes.",Environmental Protection Agency,State Agencies ,State Agencies  001,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072acd,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 8,"Ensure that farms and forests do not  contribute to habitat destruction and  isolation, and also protect features  of cultural heritage and traditional  landscapes.","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ace,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 8,"Ensure that farms and forests do not  contribute to habitat destruction and  isolation, and also protect features  of cultural heritage and traditional  landscapes.","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 004",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072acf,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 8,"Ensure that farms and forests do not  contribute to habitat destruction and  isolation, and also protect features  of cultural heritage and traditional  landscapes.","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 004",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ad0,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 8,"Ensure that farms and forests do not  contribute to habitat destruction and  isolation, and also protect features  of cultural heritage and traditional  landscapes.",Habitats Directive,"Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 005",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ad1,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 8,"Ensure that farms and forests do not  contribute to habitat destruction and  isolation, and also protect features  of cultural heritage and traditional  landscapes.",Birds Directive,"Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 001",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ad2,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 5,"Launch a National Soil Sampling and  Analysis Programme to develop a  baseline of information in relation  to nutrient cycling and carbon  sequestration functions in soils and  develop a National Soils Strategy that  will assess all appropriate soil health  parameters and will inform future  policies on good soil management  practices, including at a regional level.",Farmers,Producers,Producers 008,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ad3,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 5,"Launch a National Soil Sampling and  Analysis Programme to develop a  baseline of information in relation  to nutrient cycling and carbon  sequestration functions in soils and  develop a National Soils Strategy that  will assess all appropriate soil health  parameters and will inform future  policies on good soil management  practices, including at a regional level.","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ad4,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 5,"Launch a National Soil Sampling and  Analysis Programme to develop a  baseline of information in relation  to nutrient cycling and carbon  sequestration functions in soils and  develop a National Soils Strategy that  will assess all appropriate soil health  parameters and will inform future  policies on good soil management  practices, including at a regional level.","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 004",2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ad5,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 1,"Develop new bio-based value chains  based on Ireland’s comparative advantage  in the production of grass, legumes and  other perennial species.",Local Community Development Committees,State Agencies and Local Authorities,State Agencies and Local Authorities 006,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ad6,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 1,"Develop new bio-based value chains  based on Ireland’s comparative advantage  in the production of grass, legumes and  other perennial species.",Farmers,Producers,Producers 008,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ad7,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 1,"Develop new bio-based value chains  based on Ireland’s comparative advantage  in the production of grass, legumes and  other perennial species.",BiOrbic SFI Bioeconomy Research Centre,Research and Regulatory,Research and Regulatory 018,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ad8,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 1,"Develop new bio-based value chains  based on Ireland’s comparative advantage  in the production of grass, legumes and  other perennial species.",Irish Farmers' Association,Trade Association,Trade Association 013,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ad9,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 1,"Develop new bio-based value chains  based on Ireland’s comparative advantage  in the production of grass, legumes and  other perennial species.",Forest Industries Ireland,Semi-State Agency,Semi-State Agency 006,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ada,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 1,"Develop new bio-based value chains  based on Ireland’s comparative advantage  in the production of grass, legumes and  other perennial species.",Aquaculture Stewardship Council,NGO,NGO 003,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072adb,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 2,"Scale up resource-efficient, circular and  low carbon solutions based on principles  of renewable energy, cascading and  circular use of sustainable biological  resources.",Microbiome-Based Solutions,Research and Regulatory,Research and Regulatory 056,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072adc,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 2,"Scale up resource-efficient, circular and  low carbon solutions based on principles  of renewable energy, cascading and  circular use of sustainable biological  resources.",Smart Protein-Based Solutions,Research and Regulatory,Research and Regulatory 078,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072add,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 5,"Multiple sources of finance and funding  (including climate finance) will be  required, both from the public and  private sector.",Common Agricultural Policy,European Union (EU),European Union (EU) 001,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ade,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 5,"Multiple sources of finance and funding  (including climate finance) will be  required, both from the public and  private sector.",Common Fisheries Policy,European Union (EU),European Union (EU) 002,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072adf,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 5,"Multiple sources of finance and funding  (including climate finance) will be  required, both from the public and  private sector.",National Treasury Management Agency,Telecommunications and Financial Services,Telecommunications and Financial Services 009,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ae0,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 5,"Multiple sources of finance and funding  (including climate finance) will be  required, both from the public and  private sector.",Ireland Strategic Investment Fund,Telecommunications and Financial Services,Telecommunications and Financial Services 007,2025-06-11T12:20:26.020Z
6849667a9b5e602eb0072ae1,MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 5,"Multiple sources of finance and funding  (including climate finance) will be  required, both from the public and  private sector.",Strategic Banking Corporation of Ireland,Telecommunications and Financial Services,Telecommunications and Financial Services 010,2025-06-11T12:20:26.020Z
