_id,Speaker,Topic Thoughts,Sentiment,Organization,Designation,Category,Labels,Insert Datetime
6849ec1728a615fc0c4cf495,Dr. Kelly de Bruin,"The speaker believes that mitigation policies are more impactful on emissions than economic growth, citing successful examples from Scandinavian countries.",Support,Economic and Social Research Institute,Senior Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Senior Research Officer",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf496,Deputy Timmy Dooley,The speaker believes that simply increasing the price of carbon will not effectively address issues like range anxiety for electric vehicles.,Oppose,Fianna Fáil,Deputy (TD),Political Party 002,"Political Party 002, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf497,Dr. John Curtis,The speaker supports increasing carbon taxation to drive renewable energy targets while minimizing economic impact.,Support,Economic and Social Research Institute,Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Research Officer",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf498,Professor Alan Barrett,"The speaker believes carbon taxes are important for environmental purposes and should not be restricted to specific spending, allowing for flexibility in investment.",Support,Economic and Social Research Institute,Director,Research and Regulatory 029,"Research and Regulatory 029, Director",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf499,Dr. John Curtis,The speaker expresses concern that purchasing emissions allowances may lead to financial loss without productive investment.,Oppose,Economic and Social Research Institute,Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Research Officer",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf49a,Deputy Paul Murphy,The speaker believes that economic growth does not have to be linked to increased greenhouse gas emissions and that agribusiness cannot continue to expand profits while addressing emissions.,Oppose,People Before Profit Alliance,Deputy (TD),Political party 008,"Political party 008, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf49b,Dr. Kelly de Bruin,"The speaker believes that emissions are linked to economic growth, but can be mitigated through smart investments.",Support,Economic and Social Research Institute,Senior Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Senior Research Officer",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf49c,Professor Alan Barrett,The speaker acknowledges that economic growth is linked to an increase in greenhouse gas emissions and emphasizes the need for significant delivery on mitigation measures.,Neutral,Economic and Social Research Institute,Director,Research and Regulatory 029,"Research and Regulatory 029, Director",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf49d,Deputy Paul Murphy,The speaker believes that addressing carbon emissions requires regulation and public ownership rather than relying solely on carbon taxes.,Support,People Before Profit Alliance,Deputy (TD),Political party 008,"Political party 008, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf49e,Deputy Eamon Ryan,The speaker expresses concern that the current national development plan is failing to effectively address carbon reduction and suggests a need for reevaluation.,Oppose,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf49f,Deputy Eamon Ryan,The speaker expresses concern that the current national development plan is failing to effectively address carbon reduction and suggests a need for reevaluation.,Oppose,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4a0,Deputy Eamon Ryan,The speaker expresses concern that the current national development plan is failing to effectively address carbon reduction and suggests a need for reevaluation.,Oppose,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4a1,Deputy Eamon Ryan,The speaker expresses concern that the current national development plan is failing to effectively address carbon reduction and suggests a need for reevaluation.,Oppose,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4a2,Professor Alan Barrett,"The speaker expresses concern about the low valuation of carbon in cost-benefit analyses, suggesting it devalues environmental benefits.",Oppose,Economic and Social Research Institute,Director,Research and Regulatory 029,"Research and Regulatory 029, Director",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4a3,Dr. John Curtis,The speaker expresses concern that unprofitable agricultural enterprises contribute significantly to greenhouse gas emissions and suggests the need for diversification.,Neutral,Economic and Social Research Institute,Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Research Officer",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4a4,Senator Michelle Mulherin,The speaker expresses concern about the impact of carbon taxes on financially strained individuals and advocates for technological solutions for sustainable living.,Oppose,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4a5,Senator Michelle Mulherin,The speaker expresses concern about the impact of carbon taxes on financially strained individuals and advocates for technological solutions for sustainable living.,Oppose,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4a6,Senator Ian Marshall,Agriculture can positively contribute to carbon sequestration through effective pastureland management.,Support,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4a7,Senator Ian Marshall,Agriculture can positively contribute to carbon sequestration through efficient pastureland management.,Support,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4a8,Senator Tim Lombard,The speaker emphasizes the need for a proactive approach to carbon pricing and transitioning to a low-carbon economy.,Support,Fine Gael,Senator,Political Party 003,"Political Party 003, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4a9,Senator Tim Lombard,The speaker emphasizes the need for a proactive approach to carbon pricing and transitioning to a low-carbon economy.,Support,Fine Gael,Senator,Political Party 003,"Political Party 003, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4aa,Senator Tim Lombard,The speaker emphasizes the need for a proactive approach to carbon pricing and moving towards a low-carbon economy.,Support,Fine Gael,Senator,Political Party 003,"Political Party 003, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4ab,Senator Tim Lombard,The speaker emphasizes the need for a proactive approach to carbon pricing and moving towards a low-carbon economy.,Support,Fine Gael,Senator,Political Party 003,"Political Party 003, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4ac,Mr. John McCarthy,"The speaker supports the idea that a carbon tax creates certainty for economic agents, encouraging investment in low-carbon alternatives and reducing emissions.",Support,Irish Creamery Milk Suppliers Association,Deputy President,Trade Association 011,"Trade Association 011, Deputy President",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4ad,Mr. Robert Watt,The speaker indicates that the high emissions in their country are due to structural differences and challenges rather than a lack of effort compared to other countries.,Neutral,Department of Public Expenditure and Reform,Secretary General,Department of Public Expenditure and Reform 001,"Department of Public Expenditure and Reform 001, Secretary General",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4ae,Senator Grace ’Sullivan,"The speaker supports the idea of returning carbon tax revenue to individuals, particularly benefiting low-income households.",Support,Green Party,Senator,Political Party 004,"Political Party 004, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4af,Deputy Pat Deering,The speaker supports the idea of analyzing the implications of a carbon tax on the agricultural sector.,Support,Fine Gael,"Deputy (TD), Former Chair of the Joint Oireachtas Committee on Agriculture, Food and the Marine",Political Party 003,"Political Party 003, Deputy (TD), Former Chair of the Joint Oireachtas Committee on Agriculture, Food and the Marine",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4b0,Mr. Robert Watt,Society believes that the climate is changing.,Neutral,Department of Public Expenditure and Reform,Secretary General,Department of Public Expenditure and Reform 001,"Department of Public Expenditure and Reform 001, Secretary General",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4b1,Deputy Eamon Ryan,Decarbonisation is viewed as an economic opportunity that must be embraced.,Support,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4b2,Deputy Eamon Ryan,Decarbonisation is viewed as an economic opportunity that must be embraced.,Support,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4b3,Deputy Eamon Ryan,Decarbonisation is viewed as an economic opportunity that must be embraced.,Support,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4b4,Deputy Eamon Ryan,Decarbonisation is viewed as an economic opportunity that must be embraced.,Support,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4b5,Senator Michelle Mulherin,The speaker emphasizes the need to understand the costs and benefits of reducing carbon emissions while ensuring economic viability.,Neutral,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4b6,Senator Michelle Mulherin,The speaker emphasizes the need to understand the costs and benefits of reducing carbon emissions while ensuring economic viability.,Neutral,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4b7,Mr. Derek Moran,The speaker believes that economic growth must be moderated to reduce emissions and promote environmental sustainability.,Support,Department of Finance,Secretary General,Department of Finance 001,"Department of Finance 001, Secretary General",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4b8,Deputy Timmy Dooley,The speaker emphasizes the need for clear carbon reduction targets and accountability in their implementation.,Support,Fianna Fáil,Deputy (TD),Political Party 002,"Political Party 002, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4b9,Deputy Richard Bruton,The speaker emphasizes the need for effective carbon use and minimization policies while recognizing the challenges in reducing carbon across sectors.,Neutral,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4ba,Deputy Richard Bruton,"The speaker emphasizes the need for effective carbon use and minimization policies, acknowledging the challenges in reducing carbon emissions across different sectors.",Neutral,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4bb,Senator Michelle Mulherin,The speaker believes agriculture can achieve carbon neutrality but is concerned about the lack of recognition for its carbon efficiency compared to other EU countries.,Neutral,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4bc,Senator Michelle Mulherin,The speaker believes agriculture can achieve carbon neutrality but is concerned about the lack of recognition for its carbon efficiency compared to other EU countries.,Neutral,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4bd,Deputy Richard Bruton,"The speaker supports implementing a carbon tax as a necessary measure for reducing carbon intensity, emphasizing its impact on final users rather than production.",Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4be,Deputy Richard Bruton,The speaker supports implementing a carbon tax that encourages accountability for carbon use and promotes efficiency in agriculture.,Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4bf,Deputy Richard Bruton,The speaker supports a fair marking system for proposals based on their impact on carbon emissions and community benefits.,Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4c0,Deputy Sean Sherlock,The speaker supports using the carbon fund to finance sustainable models like the Tipperary Energy Agency's approach.,Support,Labour Party,Deputy (TD),Political Party 006,"Political Party 006, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4c1,Deputy Sean Sherlock,The speaker supports utilizing the carbon fund to finance sustainable projects.,Support,Labour Party,Deputy (TD),Political Party 006,"Political Party 006, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4c2,Deputy Richard Bruton,The speaker recognizes the value of community-based initiatives and emphasizes the need for improvement in existing instruments to foster social sustainability.,Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4c3,Deputy Richard Bruton,The speaker values community-based initiatives and recognizes their importance in driving climate action and social sustainability.,Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4c4,Deputy Richard Bruton,The speaker supports initiatives that respond to regional challenges through retraining and enterprise development.,Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4c5,Deputy Richard Bruton,The speaker supports initiatives that respond to regional challenges through enterprise and funding.,Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4c6,Deputy Richard Bruton,The speaker believes that every State agency should have a carbon mandate and responsibility in procurement to influence policy effectively.,Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4c7,Deputy Richard Bruton,"The speaker advocates for a government-led approach to climate action, emphasizing the need for all state agencies to have a carbon mandate and responsibility in their operations.",Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4c8,Deputy Tom Neville,The speaker emphasizes the importance of grassroots involvement and local government in addressing community issues.,Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4c9,Deputy Richard Bruton,The speaker emphasizes the necessity of community engagement for effective change.,Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4ca,Deputy Richard Bruton,"Engaging communities is essential for effective change, and their involvement is crucial to success.",Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4cb,Deputy Richard Bruton,The speaker believes that a carbon tax is essential for changing behavior regarding carbon emissions and should not be seen as a revenue-generating tool.,Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4cc,Deputy Richard Bruton,"The speaker supports a carbon tax as a necessary tool to change behavior and address carbon damage, emphasizing its role in signaling the need for accountability in carbon emissions.",Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4cd,Deputy Bríd Smith,The speaker acknowledges the need for a carbon tax to change behavior but criticizes its implementation without providing alternatives.,Oppose,People Before Profit Alliance,"Deputy, Member of the Dail Eireann (the lower house of the Irish Parliament)",Political party 008,"Political party 008, Deputy, Member of the Dail Eireann (the lower house of the Irish Parliament)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4ce,Deputy Bríd Smith,The speaker acknowledges the need for a carbon tax but criticizes its implementation without providing alternatives.,Oppose,People Before Profit Alliance,"Deputy, Member of the Dail Eireann (the lower house of the Irish Parliament)",Political party 008,"Political party 008, Deputy, Member of the Dail Eireann (the lower house of the Irish Parliament)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4cf,Deputy Bríd Smith,The speaker acknowledges the need for a carbon tax but criticizes its implementation without providing alternatives for the public.,Oppose,People Before Profit Alliance,"Deputy, Member of the Dail Eireann (the lower house of the Irish Parliament)",Political party 008,"Political party 008, Deputy, Member of the Dail Eireann (the lower house of the Irish Parliament)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4d0,Deputy Richard Bruton,The price of carbon is a crucial factor in encouraging investment in better energy systems.,Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4d1,Deputy Richard Bruton,The speaker emphasizes the importance of investing in better energy systems and acknowledges the significant role of carbon pricing in climate action.,Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4d2,Deputy Richard Bruton,"The speaker supports a clear trajectory for carbon tax implementation by 2025 and 2030, emphasizing the need for consensus and adaptation strategies.",Support,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4d3,Professor Valérie Masson-Delmotte,"Many countries are not on track, but some have peaked and are slowly declining, indicating a need for more urgent action.",Neutral,Intergovernmental Panel on Climate Change,Co Chair of Working Group I,Research and Regulatory 048,"Research and Regulatory 048, Co Chair of Working Group I",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4d4,Professor Valérie Masson-Delmotte,"Many countries are not on track, but some have peaked and are slowly declining, indicating a need for faster action.",Neutral,Intergovernmental Panel on Climate Change,Co Chair of Working Group I,Research and Regulatory 048,"Research and Regulatory 048, Co Chair of Working Group I",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4d5,Professor Sonia Seneviratne,"The speaker believes that achieving zero emissions by 2050 is necessary to meet climate goals, but emphasizes the importance of focusing on a 50% reduction by 2030.",Support,Swiss Federal Institute of Technology,Professor for Land Climate Dynamics,Research and Regulatory 086,"Research and Regulatory 086, Professor for Land Climate Dynamics",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4d6,Dr. Pierre-Marie Aubert,Ireland must pursue neutrality at a national level and assist other countries in offsetting residual emissions.,Neutral,Institute for Sustainable Development and International Relations,Coordinator of the European Agriculture Initiative ,Research and Regulatory 047,"Research and Regulatory 047, Coordinator of the European Agriculture Initiative ",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4d7,Dr. Pierre-Marie Aubert,Ireland must pursue neutrality at a national level and assist other countries in offsetting emissions.,Neutral,Institute for Sustainable Development and International Relations,Coordinator of the European Agriculture Initiative ,Research and Regulatory 047,"Research and Regulatory 047, Coordinator of the European Agriculture Initiative ",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4d8,Dr. Pierre-Marie Aubert,The speaker suggests that taxing emissions based on efficiency may be preferable to absolute levels to promote global efficiency in agricultural production.,Support,Institute for Sustainable Development and International Relations,Coordinator of the European Agriculture Initiative ,Research and Regulatory 047,"Research and Regulatory 047, Coordinator of the European Agriculture Initiative ",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4d9,Dr. Pierre-Marie Aubert,The speaker suggests that taxing emissions based on efficiency may be preferable to absolute levels to promote efficient production systems.,Support,Institute for Sustainable Development and International Relations,Coordinator of the European Agriculture Initiative ,Research and Regulatory 047,"Research and Regulatory 047, Coordinator of the European Agriculture Initiative ",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4da,Dr. Pierre-Marie Aubert,Taxing emissions based on efficiency may be preferable to absolute levels to promote global efficiency in agricultural production.,Support,Institute for Sustainable Development and International Relations,Coordinator of the European Agriculture Initiative ,Research and Regulatory 047,"Research and Regulatory 047, Coordinator of the European Agriculture Initiative ",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4db,Dr. Pierre-Marie Aubert,The speaker advocates for producing climate-efficient dairy and meat products to enhance global market share while reducing carbon emissions.,Support,Institute for Sustainable Development and International Relations,Coordinator of the European Agriculture Initiative ,Research and Regulatory 047,"Research and Regulatory 047, Coordinator of the European Agriculture Initiative ",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4dc,Dr. Pierre-Marie Aubert,"The speaker advocates for climate-efficient production in the agrifood sector, particularly dairy and meat.",Support,Institute for Sustainable Development and International Relations,Coordinator of the European Agriculture Initiative ,Research and Regulatory 047,"Research and Regulatory 047, Coordinator of the European Agriculture Initiative ",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4dd,Dr. Pierre-Marie Aubert,The speaker emphasizes the importance of producing climate-efficient dairy and meat products to maintain competitiveness in the agrifood sector.,Support,Institute for Sustainable Development and International Relations,Coordinator of the European Agriculture Initiative ,Research and Regulatory 047,"Research and Regulatory 047, Coordinator of the European Agriculture Initiative ",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4de,Professor Valérie Masson-Delmotte,The speaker emphasizes the importance of optimizing product use to reduce life cycle emissions through shared consumption.,Support,Intergovernmental Panel on Climate Change,Co Chair of Working Group I,Research and Regulatory 048,"Research and Regulatory 048, Co Chair of Working Group I",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4df,Deputy Tom Neville,The speaker expresses concern about the potential negative impact of forced downsizing in agriculture on carbon emissions and food production efficiency.,Oppose,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4e0,Deputy Tom Neville,The speaker expresses concern about the potential negative impact of forced downsizing in agriculture on carbon efficiency and food production.,Oppose,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4e1,Dr. Pierre-Marie Aubert,Innovations in agriculture can reduce emissions but will not achieve carbon neutrality without reshaping the sector.,Neutral,Institute for Sustainable Development and International Relations,Coordinator of the European Agriculture Initiative ,Research and Regulatory 047,"Research and Regulatory 047, Coordinator of the European Agriculture Initiative ",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4e2,Professor Valérie Masson-Delmotte,The speaker supports the restoration of peatlands as a means to provide verified carbon storage services to companies.,Support,Intergovernmental Panel on Climate Change,Co Chair of Working Group I,Research and Regulatory 048,"Research and Regulatory 048, Co Chair of Working Group I",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4e3,Professor John FitzGerald,The speaker emphasizes the need for a significant increase in carbon pricing to effectively tackle climate change.,Support,Climate Change Advisory Council,Chair,Research and Regulatory 020,"Research and Regulatory 020, Chair",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4e4,Professor John FitzGerald,The speaker emphasizes the need for a significant increase in carbon pricing to effectively address climate change.,Support,Climate Change Advisory Council,Chair,Research and Regulatory 020,"Research and Regulatory 020, Chair",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4e5,Professor John FitzGerald,The speaker believes that carbon pricing is essential to discourage fossil fuel use and incentivize investment in low-carbon technologies.,Support,Climate Change Advisory Council,Chair,Research and Regulatory 020,"Research and Regulatory 020, Chair",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4e6,Professor John FitzGerald,A carbon tax is essential to drive change and reduce emissions effectively.,Support,Climate Change Advisory Council,Chair,Research and Regulatory 020,"Research and Regulatory 020, Chair",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4e7,Professor John FitzGerald,The speaker advocates for raising the carbon tax as essential for addressing climate change.,Support,Climate Change Advisory Council,Chair,Research and Regulatory 020,"Research and Regulatory 020, Chair",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4e8,Professor John FitzGerald,The speaker advocates for raising the carbon tax as a necessary measure to address climate change.,Support,Climate Change Advisory Council,Chair,Research and Regulatory 020,"Research and Regulatory 020, Chair",2025-06-11T21:50:31.061Z
6849ec1728a615fc0c4cf4e9,Ms Laura Burke,The speaker acknowledges the need for a discussion on carbon neutrality and emphasizes the sector's responsibility to comply with environmental requirements.,Support,Environmental Protection Agency,Director General,State Agencies  001,"State Agencies  001, Director General",2025-06-11T21:50:31.061Z
